src_port,ground_truth,sampled,scaled
10133,1000,87,870
10134,1000,115,1150
10183,1000,86,860
10201,1000,89,890
10208,1000,106,1060
10214,1000,111,1110
10249,1000,103,1030
10278,1000,99,990
10301,1000,109,1090
10326,1000,119,1190
10343,1000,84,840
10354,1000,97,970
10364,1000,101,1010
10381,1000,97,970
10400,1000,98,980
10401,1000,106,1060
10403,1000,114,1140
10417,1000,95,950
10427,1000,96,960
10455,1000,83,830
10472,1000,81,810
10480,1000,113,1130
10546,1000,97,970
10559,1000,91,910
10565,1000,114,1140
10567,1000,105,1050
10573,1000,102,1020
10575,1000,105,1050
10578,1000,98,980
10625,1000,94,940
10586,1000,82,820
10626,1000,88,880
10672,1000,117,1170
10692,1000,98,980
10740,1000,109,1090
10752,1000,118,1180
10784,1000,113,1130
10815,1000,111,1110
10826,1000,117,1170
10840,1000,113,1130
10848,1000,89,890
10853,1000,104,1040
10864,1000,90,900
10889,1000,110,1100
10938,1000,112,1120
10926,1000,89,890
10951,1000,105,1050
10963,1000,104,1040
10967,1000,99,990
10991,1000,97,970
10077,1000,107,1070
10096,1000,106,1060
10108,1000,103,1030
10114,1000,107,1070
10129,1000,95,950
10150,1000,103,1030
10173,1000,110,1100
10200,1000,94,940
10213,1000,76,760
10219,1000,118,1180
10225,1000,115,1150
10232,1000,98,980
10237,1000,102,1020
10240,1000,119,1190
10257,1000,88,880
10268,1000,93,930
10285,1000,104,1040
10291,1000,117,1170
10345,1000,96,960
10351,1000,109,1090
10365,1000,94,940
10375,1000,94,940
10377,1000,101,1010
10383,1000,103,1030
10387,1000,101,1010
10392,1000,101,1010
10405,1000,102,1020
10459,1000,102,1020
10414,1000,93,930
10496,1000,104,1040
10497,1000,97,970
10524,1000,84,840
10537,1000,106,1060
10538,1000,93,930
10570,1000,110,1100
10591,1000,108,1080
10636,1000,113,1130
10661,1000,121,1210
10715,1000,98,980
10717,1000,109,1090
10766,1000,95,950
10790,1000,109,1090
10799,1000,97,970
10800,1000,95,950
10801,1000,107,1070
10829,1000,102,1020
10834,1000,99,990
10846,1000,84,840
10907,1000,92,920
10929,1000,90,900
10936,1000,101,1010
10953,1000,102,1020
10954,1000,102,1020
10972,1000,99,990
10979,1000,100,1000
10002,1000,112,1120
10075,1000,101,1010
10029,1000,97,970
10080,1000,97,970
10111,1000,104,1040
10115,1000,82,820
10145,1000,104,1040
10144,1000,123,1230
10189,1000,93,930
10203,1000,92,920
10228,1000,99,990
10245,1000,96,960
10263,1000,110,1100
10274,1000,95,950
10279,1000,71,710
10311,1000,103,1030
10338,1000,118,1180
10344,1000,106,1060
10360,1000,113,1130
10370,1000,109,1090
10374,1000,101,1010
10378,1000,99,990
10389,1000,91,910
10393,1000,84,840
10395,1000,92,920
10428,1000,108,1080
10430,1000,109,1090
10431,1000,106,1060
10440,1000,99,990
10451,1000,90,900
10486,1000,114,1140
10505,1000,94,940
10511,1000,98,980
10523,1000,87,870
10525,1000,97,970
10640,1000,109,1090
10651,1000,100,1000
10653,1000,111,1110
10671,1000,101,1010
10673,1000,74,740
10675,1000,89,890
10706,1000,103,1030
10722,1000,110,1100
10725,1000,104,1040
10792,1000,105,1050
10823,1000,90,900
10828,1000,86,860
10832,1000,99,990
10839,1000,109,1090
10885,1000,112,1120
10900,1000,103,1030
10896,1000,103,1030
10914,1000,113,1130
10908,1000,108,1080
10917,1000,94,940
10916,1000,100,1000
10962,1000,94,940
10978,1000,98,980
10968,1000,96,960
10994,1000,115,1150
10013,1000,91,910
10032,1000,109,1090
10041,1000,91,910
10040,1000,109,1090
10046,1000,97,970
10048,1000,91,910
10051,1000,95,950
10053,1000,108,1080
10057,1000,82,820
10078,1000,93,930
10068,1000,100,1000
10110,1000,92,920
10118,1000,84,840
10212,1000,92,920
10233,1000,106,1060
10223,1000,79,790
10254,1000,112,1120
10273,1000,85,850
10280,1000,88,880
10329,1000,103,1030
10322,1000,101,1010
10332,1000,96,960
10340,1000,94,940
10358,1000,89,890
10373,1000,95,950
10361,1000,94,940
